RESSTREET,RES_CITY,RES_STATE,RES_ZIP,RES_ZIP4,PRECINCT,WARD,ANC,SMD
31ST PL NW,WASHINGTON,DC,20015,,51.00,4,3G,3G01
ROCKWOOD PKY NW,WASHINGTON,DC,20016,,9.00,3,3D,3D03
CARROLLSBURG PL SW,WASHINGTON,DC,20024,,127.00,6,6D,6D06
D ST NE,WASHINGTON,DC,20002,,81.00,6,6A,6A08
25TH ST NW,WASHINGTON,DC,20037,,4.00,2,2A,2A02
KEARNY ST NE,WASHINGTON,DC,20017,,73.00,5,5B,5B04
ELM ST NW,WASHINGTON,DC,20001,,20.00,1,1B,1B01
PARKWOOD PL NW,WASHINGTON,DC,20010,,41.00,1,1A,1A01
QUEBEC ST NW,WASHINGTON,DC,20008,,34.00,3,3C,3C04
STEVENS RD SE,WASHINGTON,DC,20020,,119.00,8,8C,8C06
PENNSYLVANIA AVE NW,WASHINGTON,DC,20037,,4.00,2,2A,2A02
51ST ST NE,WASHINGTON,DC,20019,,97.00,7,7C,7C01
9TH ST NW,WASHINGTON,DC,20012,,63.00,4,4B,4B01
D ST SE,WASHINGTON,DC,20019,,107.00,7,7F,7F05
S ST NE,WASHINGTON,DC,20002,,75.00,5,5E,5E+03
7TH ST NW,WASHINGTON,DC,20001,,18.00,6,6E,6E+03
8TH ST NW,WASHINGTON,DC,20011,,46.00,4,4D,4D06
GARFIELD ST NW,WASHINGTON,DC,20007,,10.00,3,3D,3D01
HARVARD ST NW,WASHINGTON,DC,20009,,36.00,1,1A,1A12
MISSOURI AVE NW,WASHINGTON,DC,20011,,58.00,4,4B,4B05
46TH ST SE,WASHINGTON,DC,20019,,103.00,7,7F,7F03
W ST NW,WASHINGTON,DC,20001,,135.00,5,5E,5E+08
UPTON ST NW,WASHINGTON,DC,20016,,29.00,3,3F,3F01
G ST SW,WASHINGTON,DC,20024,,128.00,6,6D,6D02
STANTON RD SE,WASHINGTON,DC,20020,,118.00,8,8A,8A07
11TH ST NW,WASHINGTON,DC,20001,,17.00,2,2F,2F07
H ST NE,WASHINGTON,DC,20002,,79.00,5,5D,5D05
ROSEMOUNT AVE NW,WASHINGTON,DC,20010,,40.00,1,1D,1D03
17TH ST NW,WASHINGTON,DC,20009,,35.00,1,1C,1C06
NORTH CAPITOL ST NW,WASHINGTON,DC,20002,,135.00,5,5E,5E+09
T ST NW,WASHINGTON,DC,20009,,137.00,1,1B,1B02
GOOD HOPE  CT SE,WASHINGTON,DC,20020,,134.00,8,8B,8B01
20TH ST NW,WASHINGTON,DC,20009,,14.00,2,2B,2B01
HAMILTON ST NW,WASHINGTON,DC,20011,,57.00,4,4D,4D02
B ST SE,WASHINGTON,DC,20019,,104.00,7,7E,7E+06
NORTH CAPITOL ST NW,WASHINGTON,DC,20002,,135.00,5,5E,5E+08
14TH ST SE,WASHINGTON,DC,20003,,87.00,6,6B,6B08
VOLTA PL NW,WASHINGTON,DC,20007,,6.00,2,2E,2E+02
MINNESOTA AVE SE,WASHINGTON,DC,20019,,107.00,7,7F,7F04
EDGEWOOD ST NE,WASHINGTON,DC,20017,,74.00,5,5E,5E+02
28TH ST NW,WASHINGTON,DC,20008,,26.00,3,3C,3C03
LAMONT ST NW,WASHINGTON,DC,20010,,39.00,1,1D,1D03
BUCHANAN ST NE,WASHINGTON,DC,20017,,67.00,5,5A,5A03
Q ST NW,WASHINGTON,DC,20009,,15.00,2,2B,2B07
RHODE ISLAND AVE NW,WASHINGTON,DC,20001,,21.00,6,6E,6E+01
A ST NE,WASHINGTON,DC,20002,,86.00,6,6A,6A04
46TH PL SE,WASHINGTON,DC,20019,,106.00,7,7E,7E+01
GOOD HOPE RD SE,WASHINGTON,DC,20020,,112.00,8,8A,8A03
BUCHANAN ST NE,WASHINGTON,DC,20017,,67.00,5,5A,5A03
GOOD HOPE RD SE,WASHINGTON,DC,20020,,114.00,8,8A,8A05
FOXHALL PL SE,WASHINGTON,DC,20032,,121.00,8,8E,8E+06
21ST ST SE,WASHINGTON,DC,20020,,116.00,8,8B,8B06
HAMLIN ST NE,WASHINGTON,DC,20017,,73.00,5,5B,5B04
LIVINGSTON TER SE,WASHINGTON,DC,20032,,125.00,8,8D,8D03
SHEPHERD ST NW,WASHINGTON,DC,20011,,47.00,4,4C,4C06
MASSACHUSETTS AVE NW,WASHINGTON,DC,20016,,28.00,3,3B,3B04
GIRARD ST NE,WASHINGTON,DC,20018,,70.00,5,5B,5B03
